---------------------------------------------------------------------------------------------------
OLD NAME											NEW NAME
---------------------------------------------------------------------------------------------------
pVector												CParticleVector
ParticleAction										SParticleAction
PActionEnum											EParticleAction
PAAvoidID											ePAAvoidID
PABounceID											ePABounceID
PACopyVertexBID										ePACopyVertexBID
PADampingID											ePADampingID
PAExplosionID										ePAExplosionID
PAFollowID											ePAFollowID
PAGravitateID										ePAGravitateID
PAGravityID											ePAGravityID
PAJetID												ePAJetID
PAKillOldID											ePAKillOldID
PAMatchVelocityID									ePAMatchVelocityID
PAMoveID											ePAMoveID
PAOrbitLineID										ePAOrbitLineID
PAOrbitPointID										ePAOrbitPointID
PARandomAccelID										ePARandomAccelID
PARandomDisplaceID									ePARandomDisplaceID
PARandomVelocityID									ePARandomVelocityID
PARestoreID											ePARestoreID
PASinkID											ePASinkID
PASinkVelocityID									ePASinkVelocityID
PASourceID											ePASourceID
PASpeedLimitID										ePASpeedLimitID
PATargetColorID										ePATargetColorID
PATargetSizeID										ePATargetSizeID
PATargetRotateID									ePATargetRotateID
PATargetRotateDID									ePATargetRotateDID
PATargetVelocityID									ePATargetVelocityID
PATargetVelocityDID									ePATargetVelocityDID
PAVortexID											ePAVortexID
PATurbulenceID										ePATurbulenceID
PAScatterID											ePAScatterID
action_enum_force_dword								ePA_forcedword
PDomainEnum											EParticleDomain
PDPoint												ePDPoint
PDLine												ePDLine
PDTriangle											ePDTriangle
PDPlane												ePDPlane
PDBox												ePDBox
PDSphere											ePDSphere
PDCylinder											ePDCylinder
PDCone												ePDCone
PDBlob												ePDBlob
PDDisc												ePDDisc
PDRectangle											ePDRectangle
domain_enum_force_dword								ePD_forcedword
ParticleActions										CParticleActions
Particle											SParticle
ParticleEffect										SParticleEffect
pDomain												SParticleDomain
PAVec												ParticleActionVec
PAVecIt												ParticleActionVec_it
